% Device,CC1606011,,,,,,
% File name,CC1606011_20200811_122016,,,,,,
% Cast time (UTC),8/11/2020 12:20,,,,,,
% Cast time (local),8/11/2020 8:20,,,,,,
% Sample type,Cast,,,,,,
% Cast data,Processed,,,,,,
% Location source,GPS,,,,,,
% Default latitude,32,,,,,,
% Default altitude,0,,,,,,
% Start latitude,40.4884485,,,,,,
% Start longitude,-74.0466102,,,,,,
% Start altitude,-23.12999916,,,,,,
% Start GPS horizontal error(Meter),4.28000021,,,,,,
% Start GPS vertical error(Meter),6.75,,,,,,
% Start GPS number of satellites,6,,,,,,
% End latitude,40.488527,,,,,,
% End longitude,-74.0466998,,,,,,
% End altitude,-51.22999954,,,,,,
% End GPS horizontal error(Meter),17.93000031,,,,,,
% End GPS vertical error(Meter),29.12999916,,,,,,
% End GPS number of satellites,6,,,,,,
% Cast duration (Seconds),93.4,,,,,,
% Samples per second,5,,,,,,
% Electronics calibration date,0001-01-01,,,,,,
% Conductivity calibration date,2/19/2016,,,,,,
% Temperature calibration date,2/17/2016,,,,,,
% Pressure calibration date,2/12/2016,,,,,,
% ,,,,,,,
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.150704322,26.15680453,40060.55118,39154.66529,24.92481342,28,28
0.45,0.452118359,26.14797849,40061.30715,39162.16079,24.93002648,1526.40874,1015.41594
0.75,0.753528389,26.13941998,40056.22317,39163.74412,24.93106188,1526.394301,1015.420591
1.05,1.054937008,26.1300113,40051.11262,39165.95322,24.93253772,1526.378278,1015.425827
1.35,1.356344335,26.12236754,40045.75554,39166.56981,24.93289115,1526.365305,1015.429691
1.65,1.657749824,26.10939984,40042.87227,39173.68664,24.93782794,1526.344379,1015.438589
1.95,1.959149431,26.08139978,40062.39489,39214.26886,24.96638602,1526.312326,1015.469716
2.25,2.26053368,26.03173548,40132.54202,39321.16128,25.04177804,1526.277761,1015.542471
2.55,2.561878639,25.93445296,40367.35038,39626.76345,25.25767343,1526.277465,1015.734919
2.85,2.863156008,25.79424845,40678.11878,40042.05202,25.55137701,1526.25564,1015.998586
3.15,3.164361343,25.66846143,40927.78578,40387.83163,25.79614838,1526.215986,1016.221184
3.45,3.465513886,25.56898253,41043.67474,40581.86727,25.93346055,1526.125198,1016.3552
3.75,3.766626084,25.48570522,41189.85509,40793.58198,26.08346037,1526.087072,1016.493917
4.05,4.067699817,25.42446363,41332.76919,40984.83773,26.21909221,1526.087235,1016.6153
4.35,4.368746784,25.38332087,41386.63473,41071.76146,26.28065733,1526.057344,1016.675055
4.65,4.66977846,25.34844274,41419.13488,41132.48854,26.32362298,1526.022849,1016.718971
4.95,4.97079768,25.32543341,41461.6215,41193.50663,26.36685876,1526.017694,1016.759581
5.25,5.271794627,25.28447675,41610.24032,41374.83673,26.49567188,1526.059985,1016.869837
5.55,5.572749639,25.22481951,41851.222,41663.88492,26.70123288,1526.138417,1017.043337
5.85,5.873656176,25.13211233,42010.16336,41899.45467,26.86863142,1526.094605,1017.19788
6.15,6.174525475,25.0475904,42073.35584,42033.34816,26.96359057,1525.993011,1017.295489
6.45,6.475364702,24.96766612,42158.36019,42185.6407,27.07173066,1525.91654,1017.401637
6.75,6.776172591,24.88472366,42238.84766,42336.45549,27.17882063,1525.831149,1017.507854
7.05,7.076952717,24.80228766,42274.71934,42442.54765,27.25397098,1525.712382,1017.589847
7.35,7.37770508,24.71233269,42344.75575,42589.78955,27.35848241,1525.606061,1017.696107
7.65,7.678423032,24.64803435,42487.97529,42789.18173,27.50052458,1525.603619,1017.823128
7.95,7.979108686,24.60062027,42589.54688,42932.47407,27.60261676,1525.6002,1017.91514
8.25,8.279765468,24.53009391,42680.58177,43085.50459,27.71152419,1525.546301,1018.019004
8.55,8.580389222,24.42117189,42747.9771,43248.64776,27.82736442,1525.403489,1018.139213
8.85,8.880970842,24.25732876,42821.60368,43467.24108,27.98243861,1525.164245,1018.304811
9.15,9.181504841,24.12098099,42917.32908,43685.33385,28.13742325,1524.992837,1018.462288
9.45,9.482005978,24.07751081,42974.05706,43781.82221,28.20613147,1524.962244,1018.527921
9.75,9.782493719,24.10276198,43053.08198,43839.77626,28.24792013,1525.076175,1018.55348
10.05,10.08295276,23.88614799,43057.73895,44038.79291,28.3883679,1524.684453,1018.722923
10.35,10.38335244,23.58325766,43057.24691,44312.84458,28.58152074,1524.126386,1018.9564
10.73200545,10.76581159,23.50901248,43061.84257,44385.40425,28.63260999,1523.997959,1019.017715
